work_id,input_type,status,found_people,image_source
233,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
234,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
235,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
236,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
237,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
238,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
239,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
240,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
241,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
242,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
243,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
244,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
245,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
246,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
247,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
248,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
249,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
250,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
251,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
252,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
253,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
254,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
255,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
256,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
257,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
258,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
259,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
260,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
261,PATH,in_progress,,/Users/sebastian/ue_programowanie/res/images.jpg
262,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
263,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
264,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
265,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
266,PATH,in_progress,,/Users/sebastian/ue_programowanie/res/images.jpg
